event_date,user_pseudo_id,item_name,session_id,session_engaged,engagement_time_seconds
20221125,1956779238.1669384777,,1669384777,1,30.295
20221125,1174977040.1669420220,,1669420219,0,
20221125,603623391.1669399734,,1669399733,1,26.624
20221125,1699352077.1669399773,,1669399773,1,10.759
20221125,95304802.1669432527,,1669432527,1,5.858
20221125,95304802.1669432527,,1669439134,0,
20221125,345357457.1656320765,,1669371036,0,
20221125,2084017228.1663607384,,1669401013,0,
20221125,1337653568.1664521736,,1669427145,1,12.008
20221125,855538224.1669438165,,1669438165,1,60.88
20221125,855538224.1669438165,,1669440468,1,8.057
20221125,855538224.1669438165,,1669443799,0,
20221125,611729872.1668006187,,1669383093,0,
20221125,1418865652.1669007389,,1669366275,0,6.344
20221125,1383712924.1667737646,,1669368414,1,9.547
20221125,808829615.1667234427,,1669402830,0,1.313
20221125,820633351.1669426690,,1669426689,0,
20221125,1338750244.1669390639,,1669390639,1,18.468
20221125,14367079.1659071796,,1669426487,0,
20221125,290794587.1669431089,,1669431088,0,0.016
20221124,1938315878.1669188669,Traffic to Income™ Application interview,,,
20221124,639847758.1669348610,,1669348610,1,37.601
20221124,441077906.1669317554,,1669317554,0,
20221124,1072606940.1669328576,,1669328576,1,24.727
20221124,693176211.1669321355,,1669321355,1,2.046
20221124,1098134051.1669321325,,1669321324,1,
20221124,2104943981.1669345476,,1669345475,1,106.376
20221124,693176211.1669321355,,1669333971,0,
20221124,1264836619.1669323576,,1669323576,0,
20221124,1634016258.1669356287,,1669356286,1,17.143
20221124,665795725.1668056676,,1669345731,1,
20221124,1425892521.1667506128,,1669330231,0,
20221124,190741617.1669332105,,1669332104,0,2.085
20221124,1021925360.1664526084,,1669323409,0,
20221124,555544656.1669282406,,1669282406,0,
20221124,1594473546.1669282446,,1669282445,0,
20221124,544396180.1669342576,,1669342575,0,7.608
20221124,933951808.1668739368,,1669328295,0,0.008
20221124,1356496512.1669325659,,1669325659,1,130.816
20221124,1026178708.1669344902,,1669344901,1,5.368
20221124,1429952810.1669275368,,1669275377,0,
20221124,1722984719.1669320038,,1669320039,0,2.458
20221124,1429952810.1669275368,,1669320085,1,57.892
20221124,1234038929.1669357721,,1669357720,0,
20221124,588727809.1669305137,,1669305136,0,2.102
20221124,1925811960.1669290462,,1669290461,0,
20221124,1621578712.1669296146,,1669296146,0,7.63
20221124,246888393.1669319638,,1669319638,0,7.602
20221124,1044935416.1669356009,,1669356009,0,
20221124,467479250.1669340619,,1669340619,0,0.041
20221124,829677997.1669340809,,1669340809,1,
20221124,363246763.1669341144,,1669341144,0,
20221124,1802375237.1669302314,,1669302314,0,
20221124,1847174146.1669314603,,1669314603,1,13.362
20221124,1803402815.1669296955,,1669296954,0,
20221124,1495929308.1667434751,,1669334276,0,
20221124,940794508.1666664470,,1669277630,0,
20221124,199944992.1669316249,,1669316249,1,31.696
20221124,870255834.1669316293,,1669316292,1,26.025
20221124,2084017228.1663607384,,1669336041,0,
20221124,1256940341.1668838021,,1669279558,1,35.181
20221124,1256940341.1668838021,,1669276148,1,54.25
20221124,1939767775.1669353958,,1669353958,0,
20221124,675316458.1669286712,,1669286712,1,
20221124,13275994.1669289134,,1669289133,0,
20221124,1475674236.1669336012,,1669336012,0,
20221124,296891253.1669324142,,1669324144,1,7.167
20221124,341401731.1669324165,,1669324164,0,
20221124,1571942522.1669301716,,1669301715,0,
20221124,1026352088.1666717528,,1669309182,0,
20221124,708661399.1660080672,,1669343088,1,4.508
20221124,708661399.1660080672,,1669335320,0,
20221124,708661399.1660080672,,1669349229,1,228.052
20221124,611729872.1668006187,,1669352832,1,14.254
20221124,1077452056.1669188552,,1669276099,1,84.851
20221124,729185783.1669244506,,1669289765,1,26.517
20221124,1938315878.1669188669,,1669276120,1,519.941
20221124,2116635913.1669317767,,1669317767,1,31.427
20221124,424313869.1669310422,,1669310422,0,
20221124,1264404758.1669310124,,1669310124,0,
20221124,424313869.1669310422,,1669356920,0,
20221123,2003441895.1669191146,Traffic to Income™ Application interview,,,
20221123,342752854.1669230545,,1669230544,0,6.25
20221123,14367079.1659071796,,1669257203,1,320.555
20221123,1077452056.1669188552,,1669188551,1,56.475
20221123,1938315878.1669188669,,1669188668,1,43.055
